longitude;latitude
-9.304.568;4.502.269
-9.303.298;4.503.184
-9.299.209;4.493.055
-9.309.218;4.499.702
-9.301.391;4.499.879
-9.305.822;4.501.889
-9.306.719;4.499.776
-930.694;4.500.213
-9.302.771;4.499.667
-9.304.815;4.503.462
-9.303.127;4.503.184
-9.303.366;4.503.185
-9.309.439;4.499.753
-93.048;4.503.197
-9.299.857;4.496.572
-9.303.286;4.503.233
-9.304.839;450.069
-9.304.808;4.503.147
-9.298.715;4.496.296
-9.304.892;4.500.764
-9.302.771;4.499.431
-9.309.645;4.499.989
-9.301.102;4.499.474
-9.303.757;4.501.668
-9.298.589;4.491.454
-9.303.421;4.503.226
-9.303.234;450.337
-9.303.331;4.503.358
-9.303.291;4.503.359
-9.303.187;4.503.286
-9.304.815;4.503.462
-9.303.157;4.503.344
-9.303.434;4.503.366
-9.301.792;4.500.667
-930.098;4.499.819
-9.304.815;4.503.462
-9.303.138;4.503.286
-9.309.637;4.499.457
-9.302.682;4.501.951
-9.309.393;449.943
-9.302.986;4.500.175
-9.304.742;4.501.903
-9.298.945;4.496.924
-9.304.907;4.500.401
-9.299.959;4.496.464
-9.301.267;4.499.017
-929.922;4.497.689
-9.308.117;4.499.656
-9.298.922;449.565
-9.309.555;449.945
-9.299.062;4.494.312
-930.408;4.499.531
-9.298.589;449.689
-9.304.872;4.502.134
-9.302.641;4.501.929
-9.308.013;450.081
-9.304.956;4.500.272
-9.302.795;4.502.047
-9.309.536;4.499.644
-9.303.187;4.503.286
-9.299.159;4.494.772
-9.304.847;4.503.231
-9.304.851;4.500.371
-9.298.958;4.497.197
-9.300.115;4.490.542
-9.302.682;4.501.903
-9.301.122;4.499.473
-9.304.813;4.499.513
-9.300.943;4.499.749
-9.309.536;4.499.747
-9.309.392;4.499.406
-9.299.892;4.497.685
-9.304.856;4.499.589
-9.303.943;4.499.708
-9.304.815;4.503.462
-9.298.682;4.491.439
-9.304.406;4.499.542
-9.309.469;4.500.115
-9.299.188;4.494.196
-9.309.478;4.499.544
-9.299.206;4.496.979
-9.298.683;4.494.435
-9.302.771;4.499.537
-9.303.868;4.501.304
-930.328;4.499.545
-9.302.951;4.503.484
-9.298.684;4.491.432
-9.309.191;4.499.834
-9.303.047;450.267
-9.298.901;449.616
-9.304.815;4.503.462
null;null
-930.295;4.503.531
-9.299.319;44.976
-93.093;4.500.163
-9.298.672;4.494.396
-9.302.269;4.500.968
-9.304.815;4.503.462
-9.298.599;4.491.454
-9.307.611;449.941
-9.309.708;4.500.045
-9.300.029;4.497.992
-930.164;4.500.559
-9.301.684;449.924
-9.299.936;4.503.527
-9.302.922;4.500.758
-9.298.802;4.494.208
-9.304.813;449.952
-9.304.568;4.502.269
-9.302.771;4.499.748
-930.378;4.500.856
-9.303.138;4.503.233
-9.302.659;450.198
-9.305.657;4.501.664
-9.297.342;4.495.401
-929.884;4.497.847
-9.307.737;4.500.831
-930.407;4.499.786
-9.301.557;449.941
-9.304.688;4.500.851
-930.377;4.501.071
-9.298.628;4.491.453
-9.304.578;4.502.209
-9.298.933;4.495.718
-9.298.587;4.497.227
-9.298.682;449.132
-9.301.893;4.499.528
-9.304.325;4.499.308
-9.300.814;4.502.834
-9.308.753;450.048
-930.503;4.500.394
-9.298.843;4.497.956
-9.308.208;4.500.936
-9.299.707;4.497.219
-9.300.715;4.499.855
-9.309.326;4.499.807
-9.299.483;4.503.212
-93.012;450.279
-9.308.089;4.499.944
-9.301.557;4.499.517
-9.306.058;4.502.011
-9.299.967;4.498.971
-930.078;4.502.837
-9.305.255;4.500.668
-9.299.352;4.494.389
-9.300.617;4.503.124
-9.299.652;4.497.277
-9.300.283;4.502.837
-9.303.926;4.500.534
-92.988;449.435
-9.302.657;4.501.828
-9.298.663;4.497.961
-9.308.373;4.500.379
-9.310.159;4.499.384
-930.456;4.500.342
-9.301.146;4.499.386
-929.895;4.494.775
-9.299.355;4.492.648
-9.299.732;4.496.563
-9.302.711;4.501.929
-9.299.216;4.494.705
-9.302.498;4.502.038
-9.303.667;4.500.893
-9.301.159;4.499.436
-9.303.475;4.503.273
-930.981;4.499.834
-9.299.181;4.492.623
-9.299.044;4.492.572
-930.864;4.500.806
-9.309.438;4.499.882
-9.303.047;450.267
-93.088;4.499.668
-9.300.688;4.502.923
-9.300.714;450.315
-9.303.197;4.500.669
-9.304.772;4.502.033
-9.299.838;4.503.074
-9.301.692;450.111
-9.304.271;4.501.808
-9.301.556;4.499.334
-9.303.064;4.503.461
-9.298.899;4.497.551
-9.304.047;4.499.595
-9.309.082;4.499.796
-9.309.801;4.499.711
-929.895;4.494.793
-9.303.708;4.500.008
-9.308.427;4.499.322
-9.299.871;4.492.337
-9.302.116;4.500.672
-9.308.439;4.499.208
-9.304.982;4.500.366
-9.299.912;4.499.168
-9.298.985;4.492.533
-9.349.811;4.494.852
-9.302.793;4.499.929
-930.465;4.500.719
-9.305.023;4.500.506
-9.301.923;4.499.441
-9.305.861;4.501.677
-9.303.066;450.011
-9.309.254;4.499.618
-9.300.291;4.502.886
-9.304.323;4.500.165
-9.304.813;4.499.503
-9.299.183;4.491.127
-9.299.557;4.494.702
-9.305.174;4.503.493
-9.301.095;4.503.135
-9.299.279;4.503.311
-9.305.015;4.500.513
-930.717;4.500.384
-9.309.271;4.500.116
-930.848;4.499.668
-930.964;4.499.699
-9.299.758;4.491.108
-9.299.324;4.492.731
-9.300.974;4.499.221
-9.299.965;4.496.389
-9.300.069;4.503.012
-930.018;4.503.509
-9.300.379;4.502.882
-9.299.416;449.448
-9.299.657;4.494.702
-9.298.605;4.497.687
-9.304.916;4.503.475
-9.303.535;4.500.295
-9.299.147;449.713
-9.305.366;4.499.433
-9.307.875;4.500.487
-9.302.762;4.500.133
-930.036;4.491.304
-9.300.265;4.491.786
-930.725;4.500.704
-9.304.066;4.500.764
-9.301.072;4.503.133
-9.309.556;4.499.573
-9.302.693;4.500.756
-9.303.559;4.500.265
-9.304.903;4.503.482
-9.302.571;4.501.931
-9.304.454;4.500.706
-9.299.942;4.492.336
-9.303.047;450.267
-930.829;4.500.951
-9.306.991;450.048
-9.305.093;4.499.529
-9.300.323;4.502.889
-9.299.055;449.284
-9.300.232;4.502.888
-9.299.922;4.503.018
-9.299.686;4.503.108
-9.303.194;4.500.244
-9.309.373;4.499.573
-9.307.823;4.499.564
-9.300.133;4.491.926
-9.299.908;4.502.906
-9.300.098;449.783
null;null
-9.306.257;4.502.373
-9.299.506;4.503.172
-930.502;4.503.519
-9.304.374;4.500.783
-9.300.026;4.503.295
-9.298.958;4.497.197
-9.300.789;4.502.953
-9.303.958;4.500.896
-9.300.367;4.499.168
-9.299.847;4.496.384
-9.300.391;450.301
-9.300.416;4.490.728
-9.299.977;4.491.011
-9.299.874;4.497.632
-9.299.846;4.503.325
-9.299.684;4.491.828
-9.307.436;4.500.599
-9.305.876;450.278
-9.306.627;450.022
-9.304.917;4.502.916
-930.002;4.490.704
-9.300.985;4.499.379
-9.306.778;4.500.604
-9.307.991;4.499.663
