longitude;latitude
-9.309.663;4.492.285
-9.311.473;4.497.783
-9.309.869;4.494.961
-9.314.303;4.497.427
null;null
-9.305.081;4.499.454
-9.300.504;4.495.944
-9.310.964;4.493.753
-9.310.054;4.492.504
-9.314.975;4.493.071
-9.306.244;4.496.924
-9.300.504;4.496.125
-9.309.933;4.498.924
-930.981;4.498.838
-9.309.385;4.496.552
-9.309.567;4.497.008
-9.302.393;4.496.382
-9.309.977;4.494.541
-930.567;4.495.056
-9.310.911;4.494.795
null;null
-9.316.224;449.039
-9.304.882;4.496.564
-9.310.967;4.499.184
-9.315.028;4.492.999
-9.316.231;4.490.437
-9.313.364;4.499.162
-9.305.285;4.496.496
-9.314.975;4.493.071
-9.303.638;4.496.775
-9.311.654;4.494.082
-9.313.542;4.495.955
-930.865;4.498.474
-931.219;4.495.349
-9.314.929;4.495.937
-9.311.269;4.494.793
-9.302.291;4.498.374
-9.300.504;4.495.944
-9.301.655;449.669
-9.314.304;449.711
-93.151;4.495.655
-9.312.012;4.498.882
-9.300.504;4.496.125
-9.313.623;4.491.974
-9.311.224;4.493.523
-931.585;4.497.234
-9.311.352;4.498.458
-9.313.727;4.497.228
-9.312.286;4.495.674
-9.306.871;4.492.323
-930.669;449.723
-9.301.408;4.494.468
-9.311.695;4.496.847
-9.310.877;4.496.716
-9.305.009;4.495.718
null;null
-9.316.279;4.490.388
-9.309.373;4.492.839
-9.309.869;4.494.961
-9.307.122;44.956
-9.309.869;4.494.961
-9.313.037;4.496.278
-9.306.707;4.497.759
-9.306.531;4.497.551
-9.307.659;4.495.675
null;null
-9.311.817;4.498.942
-9.311.476;4.494.888
-9.302.873;4.496.301
-9.317.686;4.495.991
-9.309.869;4.494.961
-9.310.851;4.493.961
-9.314.098;4.497.135
-9.307.057;4.492.229
-9.312.756;4.496.223
-9.312.881;4.495.845
-9.316.324;4.490.403
-9.301.639;4.497.863
-9.312.144;4.496.952
-9.311.224;4.493.523
-9.309.259;4.493.156
-9.309.407;4.497.371
-9.311.219;4.497.705
-9.306.683;449.692
-9.311.654;4.494.559
-9.309.869;4.494.961
-9.309.489;4.494.927
-9.312.688;4.493.168
-9.309.407;4.497.371
-9.300.504;4.496.034
-9.306.023;4.497.591
-930.244;449.638
-9.313.431;4.495.017
-9.314.108;4.495.745
-9.310.771;4.496.766
-9.308.258;449.682
-9.309.869;4.494.961
-9.311.685;4.493.529
-9.311.091;4.497.661
-9.312.866;4.497.025
-9.310.967;4.499.184
-9.315.272;4.495.655
-9.303.748;4.495.768
-9.301.351;4.494.492
null;null
-9.302.358;4.496.798
-9.317.439;4.496.361
-9.311.691;449.404
-9.301.468;4.494.626
-9.307.177;4.497.315
-9.300.914;4.497.641
-9.302.827;4.496.301
-9.311.347;4.496.986
-930.679;4.497.547
-9.300.504;4.496.034
-9.307.659;4.495.675
-9.302.259;4.496.418
-9.313.882;4.495.322
-9.302.926;4.496.301
-9.311.654;4.494.082
-9.309.869;4.494.961
-9.312.881;4.495.845
-9.308.574;4.497.002
-9.314.169;4.492.952
-930.341;4.496.783
-9.306.996;4.492.947
null;null
-9.311.318;4.496.831
-930.595;4.495.666
-9.314.249;4.495.402
-9.303.134;4.496.485
-9.311.633;4.496.917
null;null
null;null
-930.621;4.492.017
-9.311.816;449.894
-9.310.829;4.496.935
-9.307.659;4.495.675
-9.309.869;4.494.961
null;null
-9.310.967;4.499.184
-9.304.807;4.497.323
-9.304.722;4.495.549
-9.307.947;4.492.604
-9.302.564;4.497.966
null;null
-9.314.255;4.497.097
-9.313.267;449.716
-9.308.244;4.493.347
-9.312.881;4.495.845
-9.309.489;4.494.927
-9.305.668;4.495.231
-9.314.756;4.490.952
-9.303.057;4.494.779
-9.307.635;4.497.523
-9.308.154;4.492.803
-9.308.949;4.495.118
-9.310.057;4.492.676
-930.685;4.496.476
-9.313.282;4.491.974
-9.300.504;4.495.944
-9.307.008;4.492.414
-930.965;4.497.521
-9.311.224;4.493.523
-9.304.341;4.495.776
-9.310.284;449.832
-9.311.626;4.494.559
-9.310.876;4.498.053
-931.585;4.497.234
-9.312.244;449.666
-9.300.424;4.496.395
-9.302.447;4.497.011
-9.300.424;4.496.395
-9.307.092;4.492.247
-9.311.654;4.494.559
-9.307.876;449.638
-9.305.263;4.496.225
-9.315.752;4.497.187
-9.301.834;4.496.327
-9.309.869;4.494.961
-930.942;4.497.467
-9.310.868;4.499.096
-9.308.242;4.493.346
-9.313.631;4.492.013
-9.311.218;4.497.372
-9.312.198;4.496.224
-9.304.206;4.496.319
null;null
-930.293;4.497.683
null;null
-930.976;4.492.803
-9.307.455;449.632
-9.309.249;4.493.154
-931.565;4.496.727
-9.305.814;4.497.595
-9.309.618;449.662
-9.301.657;4.496.691
-9.304.132;4.495.477
-9.301.441;4.496.933
-9.301.555;4.498.816
-9.315.237;4.496.549
-9.314.138;4.495.671
-9.313.396;4.492.522
-9.307.465;4.498.151
-9.313.853;4.495.121
-9.302.324;4.496.693
-9.305.777;4.496.926
-930.738;4.492.463
-9.310.175;4.492.502
-9.305.394;4.497.041
-930.942;4.497.467
-9.313.642;4.492.916
-9.307.642;449.833
-9.302.857;4.498.481
-9.304.264;4.496.875
-931.385;4.492.488
-9.314.262;4.495.121
-9.313.603;449.628
-9.300.504;4.495.944
null;null
-9.305.913;4.495.576
-9.313.311;4.495.745
-9.307.121;4.497.863
-9.301.622;4.496.976
-9.314.952;4.496.462
-9.307.005;4.497.935
-9.311.002;449.435
-9.300.424;4.496.395
-9.307.595;4.498.381
-9.305.718;4.497.745
-9.306.467;449.768
-9.316.077;44.906
-9.301.653;449.669
-9.310.151;4.498.127
null;null
-9.311.116;4.497.125
-9.317.441;4.494.871
-9.308.647;4.497.514
-9.310.235;4.497.363
-9.309.911;44.975
null;null
-9.304.788;4.495.775
-9.307.431;449.264
-9.308.128;4.496.877
-9.315.882;4.495.668
-9.309.462;4.496.936
-9.309.905;4.492.344
-9.310.393;4.492.445
-9.304.861;4.495.685
-9.301.152;4.496.327
-9.302.265;4.498.679
-9.308.245;4.493.347
-9.310.245;4.497.762
-9.311.852;   44.99
-9.312.858;4.495.852
-9.307.226;4.498.657
-9.310.579;4.497.996
-9.308.733;4.493.205
-9.308.314;4.497.005
-9.302.165;4.497.279
-9.307.605;44.916
-9.310.578;4.498.032
-9.307.498;4.492.503
-9.307.032;4.497.861
-9.301.555;4.498.401
-9.312.722;4.498.502
-9.302.979;4.498.465
-9.304.708;4.495.776
-9.310.796;4.498.438
-9.302.925;4.498.736
-9.304.722;4.495.549
-9.312.634;4.496.206
-93.095;4.494.496
-9.305.784;4.497.283
-9.301.321;4.494.772
-9.309.689;4.496.456
-9.302.746;4.496.229
-9.301.943;4.495.873
-9.311.846;4.496.095
-9.307.164;4.498.168
-930.165;4.496.682
-931.047;4.497.896
-9.311.092;4.496.762
-9.315.226;4.495.655
-9.303.009;4.496.318
-9.307.182;4.496.917
-9.315.159;4.493.264
-9.317.325;449.544
-9.316.529;449.436
-9.310.715;4.498.995
-9.305.947;4.497.191
-9.305.543;4.497.025
-9.309.407;4.497.371
-930.841;4.492.212
-9.302.985;4.496.501
-9.307.958;4.497.855
-9.302.271;4.498.947
-9.311.482;449.415
-9.314.434;4.495.672
-9.301.396;4.495.876
-9.305.617;4.496.974
-9.313.077;4.492.527
-9.309.489;4.494.927
-9.310.054;4.497.397
null;null
-9.307.475;4.497.492
-930.648;4.497.588
-9.312.976;449.451
-9.300.504;4.496.125
-9.301.549;4.496.752
-9.313.952;4.495.233
-9.306.856;4.497.316
-9.301.928;4.498.814
-9.312.012;4.497.556
-9.306.363;4.497.191
-9.309.407;4.497.371
-9.315.378;4.490.606
-930.522;4.497.108
null;null
-9.307.941;4.492.669
-9.312.012;4.498.882
-9.302.914;4.496.561
-931.123;4.497.565
-9.311.578;4.493.328
-931.808;4.496.459
-9.310.967;4.499.184
-9.308.456;449.702
-9.312.124;4.495.123
-9.311.092;4.496.811
-9.313.658;4.497.268
-9.308.582;4.497.262
-9.310.238;4.498.847
-9.311.052;4.498.117
-9.301.581;4.496.418
-9.314.255;449.223
-9.310.876;449.802
-9.305.135;4.497.194
-9.305.065;4.496.182
-930.276;4.497.743
-9.304.911;4.495.014
-9.300.504;4.495.944
-9.314.929;4.495.937
-930.291;4.495.686
-9.313.446;4.496.318
-9.316.055;4.490.235
-9.308.674;4.498.434
-9.308.155;4.496.183
-9.310.426;4.492.574
-9.300.841;4.496.466
-9.307.707;4.497.328
-9.306.363;44.953
-9.310.885;449.915
-9.314.207;4.494.729
-9.305.062;4.497.638
-9.316.969;4.495.493
-9.313.432;4.499.026
-9.309.407;4.497.371
-9.302.956;4.498.998
-9.312.163;4.494.803
-9.300.504;4.495.944
-9.302.046;449.605
-9.306.831;4.498.027
-9.301.989;4.498.615
-9.315.721;4.498.706
-9.306.166;4.495.395
-9.311.473;4.497.764
-9.306.061;4.495.712
-9.301.657;4.496.691
-9.303.849;4.497.538
-9.300.424;4.496.395
-930.697;4.497.936
-9.300.486;4.495.853
-9.309.874;4.492.979
-9.305.344;449.732
-9.312.603;449.477
-9.310.465;4.496.015
-9.306.222;4.495.293
null;null
-9.304.264;4.496.875
-9.300.504;4.496.125
-9.307.156;4.497.035
-9.306.473;4.497.024
-930.622;4.497.024
-9.300.486;4.495.853
-9.311.116;4.497.064
-9.312.875;4.497.294
-9.308.288;4.497.667
-9.306.676;4.498.836
-9.302.259;4.498.374
-931.008;449.262
-9.301.341;4.495.878
-9.301.126;4.496.709
-9.303.017;4.497.684
-9.305.635;4.495.297
-9.307.378;4.499.045
-9.309.869;4.494.961
-930.756;4.492.505
-931.404;4.495.671
-9.315.428;4.493.791
-9.310.829;4.497.045
-9.313.878;4.492.063
-9.310.345;4.492.966
-9.310.967;4.499.184
-9.301.189;4.496.806
-9.308.834;449.294
null;null
-9.317.982;449.581
-9.307.354;4.498.933
-930.385;4.497.427
-9.312.774;4.498.945
-9.317.375;4.495.054
-9.301.461;4.496.505
-9.301.298;4.495.879
-9.300.504;4.496.034
-9.302.673;4.496.229
-9.310.967;4.499.184
-9.313.303;4.496.316
-930.097;4.497.501
-9.311.342;4.498.627
-9.313.063;4.495.235
-9.300.504;4.496.034
-9.302.329;4.496.973
-9.301.801;4.498.186
-9.300.504;4.496.125
-9.301.294;4.496.822
-9.310.459;4.497.401
-9.311.269;4.494.761
-930.631;449.704
-9.305.081;4.499.454
-9.301.403;4.496.507
-9.302.043;4.498.487
-9.305.608;4.497.287
-9.307.157;449.202
null;null
-9.314.209;4.494.717
-93.095;4.494.496
-9.315.426;4.494.503
-9.310.221;449.673
-931.305;4.495.762
-9.307.042;4.492.499
-9.311.687;4.493.689
-930.642;4.497.645
-9.304.398;4.497.407
-9.306.721;4.497.819
-9.306.851;4.497.758
-9.307.142;4.499.032
-9.317.982;449.581
-9.311.241;4.497.836
-9.311.467;449.415
-9.305.696;4.496.312
-9.313.065;449.727
-9.308.563;4.495.032
-930.619;4.497.024
-930.754;4.497.582
-9.308.001;4.496.174
-9.312.562;4.493.127
-9.315.996;4.490.232
-9.305.121;4.497.594
-9.309.396;4.495.144
-930.165;4.496.682
-9.302.956;4.498.736
-9.313.309;4.497.206
-9.311.186;4.493.694
null;null
-9.317.968;4.496.639
-9.313.021;4.496.017
-9.313.596;4.492.345
-9.309.407;4.497.371
-9.309.328;449.506
-9.309.375;4.495.222
null;null
-9.304.485;449.567
-9.305.811;4.495.424
-9.300.504;4.496.125
-9.307.484;4.497.314
-930.385;4.497.457
-9.301.679;4.496.525
-9.301.815;4.498.634
-9.314.793;4.495.672
-930.942;4.497.467
-9.306.299;4.498.376
-9.311.056;4.497.578
-9.303.131;4.498.482
-9.318.031;449.508
-9.311.214;4.496.024
-9.306.105;4.497.642
-9.317.347;4.494.597
-9.307.172;4.497.934
-9.303.856;4.497.571
-9.308.153;4.497.833
-9.306.503;4.496.921
-931.413;4.495.402
-9.302.975;4.498.997
null;null
-9.311.481;4.498.341
-9.302.851;4.495.777
null;null
-9.311.852;   44.99
-9.316.571;4.495.048
-9.305.212;4.497.553
-9.310.967;4.499.184
null;null
-9.302.294;4.496.599
-9.300.504;4.495.944
-9.300.424;4.496.395
null;null
-9.302.443;4.498.042
-930.789;4.498.899
-9.302.137;4.498.769
null;null
-9.311.116;4.496.955
-9.302.341;449.697
-9.309.869;4.494.961
-9.303.718;4.495.688
-9.300.504;4.496.125
-9.313.525;4.495.015
-9.310.715;4.498.995
-9.303.195;4.496.213
-9.303.778;4.495.371
-9.309.396;4.495.144
-9.300.504;4.495.944
-9.307.956;4.497.614
-9.304.264;4.496.875
null;null
-9.310.007;4.497.399
-9.306.799;4.497.742
-930.592;4.496.296
-9.311.497;4.497.683
-9.316.675;4.490.264
-9.301.633;449.675
-9.302.074;4.498.945
-9.315.002;4.496.017
-9.303.748;4.495.768
-9.302.857;4.498.997
-9.312.983;4.495.852
-9.301.948;4.498.374
-9.309.531;4.497.215
-9.308.367;4.492.155
-9.311.466;4.493.488
-9.309.167;4.495.212
-9.308.508;4.497.665
-9.309.514;4.497.488
-9.314.756;4.496.282
-9.302.675;4.498.826
-9.304.932;4.496.227
-9.308.472;4.497.083
-9.307.456;4.498.556
-9.311.481;4.498.341
-9.304.734;4.499.067
-9.303.437;4.496.214
-9.307.659;4.495.675
-9.300.504;4.495.944
-9.300.504;4.496.125
-9.311.911;4.493.488
-9.315.605;4.496.728
-9.310.272;4.496.858
-9.301.763;4.498.269
-9.302.707;4.498.752
-9.310.715;4.498.995
-9.312.951;4.497.038
-930.795;4.495.868
-9.307.425;449.892
-9.302.323;4.497.805
-9.311.092;4.497.432
-9.312.457;4.494.164
-9.307.639;4.498.079
-9.302.347;4.497.953
-9.305.081;4.499.454
-9.309.407;4.497.371
-9.313.964;4.495.927
-9.313.028;4.494.203
-9.309.407;4.497.371
-9.305.963;449.719
-930.443;4.496.501
-930.087;4.497.599
-9.311.242;4.497.665
-9.309.396;4.495.144
-9.308.012;4.498.558
-930.467;4.494.973
-9.305.091;4.495.959
-9.312.689;4.495.384
-9.309.328;449.506
-9.301.988;4.496.433
-9.304.325;449.782
-9.307.145;4.492.378
-9.300.424;4.496.395
-9.301.954;4.497.909
-9.305.657;4.495.413
-930.745;4.497.223
-9.312.634;4.496.206
-9.307.079;4.497.638
-9.316.408;449.839
-9.302.225;4.497.909
-930.436;4.495.015
-9.302.068;4.495.698
-9.314.811;4.495.326
-93.174;4.496.179
-9.310.183;449.754
-9.304.933;4.497.763
-9.302.772;4.496.965
-9.303.849;4.497.531
-9.307.425;449.892
-9.302.742;4.497.759
-9.309.255;4.492.447
-9.317.315;4.494.598
-9.308.793;4.492.465
-9.301.718;4.496.789
-9.312.271;4.498.011
null;null
-930.878;4.498.366
-9.313.093;4.497.265
-9.317.268;4.496.639
-9.314.865;4.496.589
-9.304.266;4.495.112
-9.307.764;4.497.421
-9.310.044;4.497.724
-9.302.771;449.751
-9.307.639;4.498.007
-9.307.906;4.498.665
-9.309.173;4.493.242
-9.303.098;4.495.492
-9.311.631;4.498.685
-9.309.396;4.495.144
-9.307.588;4.497.402
-9.313.688;449.849
-9.317.242;4.490.188
-9.312.648;4.498.515
-9.309.396;4.495.144
-9.306.487;4.496.921
-9.302.666;4.497.408
-930.954;4.496.622
-9.302.686;4.497.186
-9.311.568;4.494.439
-9.316.185;4.498.208
-9.310.703;4.498.415
-9.301.751;4.495.838
-9.301.977;4.498.871
-9.301.028;4.497.646
-9.314.343;4.496.322
-9.308.437;4.492.988
-9.301.484;4.497.845
-9.314.621;4.495.772
-931.249;4.496.828
-9.314.286;4.495.762
-9.302.771;4.497.574
-9.308.563;4.495.032
-9.300.424;4.496.395
-9.311.345;4.497.841
-9.308.206;4.492.248
-930.802;449.703
-9.308.754;4.493.497
-9.300.486;4.495.853
-9.302.566;4.498.133
null;null
-9.300.504;4.496.034
-9.314.017;4.496.019
-9.307.456;4.498.556
-9.305.596;4.497.642
-9.307.256;4.498.085
null;null
-9.312.369;4.493.432
-9.310.234;4.498.941
-9.307.823;4.496.305
-9.307.877;4.492.551
-9.300.689;4.497.839
-9.308.376;4.496.304
-9.313.882;4.492.396
-9.301.142;4.496.586
-9.307.959;4.493.326
-9.312.124;4.495.123
-9.315.498;449.567
null;null
-9.303.773;4.495.688
-9.311.123;4.493.605
-9.303.812;4.497.978
-9.303.855;4.495.116
-9.303.562;4.496.515
-9.311.347;4.497.595
-9.307.425;449.892
-9.312.647;4.497.346
-930.942;4.497.467
-9.314.069;4.497.193
-9.301.832;4.497.012
-9.308.538;4.497.078
-9.302.866;4.498.184
-9.304.157;4.496.041
-9.303.084;4.495.118
-931.137;4.497.524
-9.305.869;4.497.233
-9.313.147;4.492.565
-9.301.786;4.498.814
-9.317.049;4.495.475
-9.312.964;4.495.221
-9.311.574;4.493.328
-9.301.361;4.498.392
-9.302.817;449.809
-9.311.165;4.498.114
-9.308.177;4.492.139
-9.306.701;4.498.391
-9.308.103;4.497.544
-930.942;4.497.467
-9.301.788;4.497.862
-9.306.113;4.495.013
-9.304.824;4.496.265
-9.316.332;4.490.483
-9.316.373;4.496.651
-9.308.261;4.497.625
-9.300.538;4.496.638
-9.311.343;4.498.037
-9.302.106;4.499.057
-930.942;4.497.467
-9.303.827;4.496.933
-931.021;4.497.807
-9.301.357;449.705
-9.300.504;4.496.125
-9.309.407;4.497.371
-9.306.363;4.497.866
-9.302.047;4.498.329
-9.302.794;4.497.174
-931.216;4.494.677
-9.317.119;4.494.925
-9.315.905;449.668
-9.306.454;4.497.192
-9.312.306;4.494.511
-9.307.511;4.499.033
-9.310.215;4.497.761
-9.303.725;4.495.688
-9.304.418;4.498.884
-9.308.138;4.492.783
-9.301.482;4.495.877
-9.304.355;4.496.867
-930.802;4.498.121
-9.305.071;4.495.398
-930.832;4.492.733
-9.309.407;4.497.371
-9.314.189;4.496.498
-9.302.667;4.497.496
-930.245;4.498.184
-9.301.897;4.499.091
-930.318;4.495.598
-930.224;4.498.091
-9.318.131;4.496.779
-9.302.064;4.497.953
-9.303.748;4.495.768
-9.300.504;4.496.125
-9.305.306;4.497.042
-9.308.758;4.495.063
-9.311.072;449.776
-9.310.224;4.498.752
-9.317.784;4.492.355
-9.302.631;4.494.627
-9.313.351;4.497.116
-9.314.929;4.495.937
-9.312.881;4.495.845
-9.311.146;4.497.746
-9.301.227;4.498.453
-9.305.381;4.497.144
-930.095;4.497.502
-9.318.601;4.491.261
-9.313.441;4.492.775
-9.305.891;4.495.413
-9.302.864;4.498.736
-9.301.282;4.495.835
-9.313.564;4.492.612
-9.302.685;4.498.735
-9.314.131;4.492.438
-9.303.393;4.498.392
-9.301.186;4.496.468
-930.261;4.498.374
-9.305.757;4.497.283
-9.310.578;4.498.024
-9.301.491;4.497.349
-9.307.496;4.497.904
null;null
-9.306.665;4.498.293
-9.300.504;4.496.125
-9.301.323;4.496.795
-9.308.552;449.681
-9.306.055;4.495.592
-931.268;4.494.821
-9.315.144;4.493.371
-9.315.032;4.495.671
-9.302.829;4.499.167
-9.309.407;4.497.371
-9.301.244;4.496.888
-9.318.561;4.491.245
-9.314.858;4.495.281
-9.308.111;4.498.984
-9.307.136;4.497.856
-9.300.911;4.495.925
-9.303.053;449.524
-9.313.566;4.497.119
-9.306.739;4.498.753
-9.312.988;44.954
-9.312.532;4.494.056
-9.304.264;4.496.875
-9.304.264;4.496.875
-9.308.143;4.498.663
-9.301.988;4.498.309
-9.307.485;4.499.121
-9.315.635;4.496.645
-9.307.526;4.492.744
-9.306.903;4.495.628
-9.307.865;4.496.889
-9.310.074;4.492.137
-9.307.509;4.498.578
-930.145;4.498.375
-9.314.278;4.496.036
-93.027;4.498.736
-9.303.627;449.535
-9.301.829;4.496.284
-9.303.053;449.524
-9.307.425;449.892
-9.300.504;4.496.125
-9.302.771;4.497.527
-9.314.339;4.496.832
-9.312.705;4.499.107
-9.317.058;4.494.366
-9.303.053;449.524
-931.199;4.497.424
-9.307.363;4.498.648
-9.317.683;4.496.219
-9.302.326;4.497.232
-9.313.388;4.495.325
-9.306.324;4.498.187
-9.312.974;4.494.517
-9.318.758;4.497.579
-9.307.329;4.493.011
-9.307.601;4.498.869
-9.302.986;4.495.142
-9.300.504;4.496.125
-9.316.458;4.497.997
-9.314.117;44.924
-9.300.486;4.495.853
-9.308.229;4.498.842
-9.301.183;4.497.251
-9.301.805;4.498.766
-9.310.196;4.492.336
-93.095;4.494.496
-9.302.274;4.497.887
-9.301.607;4.495.783
-9.301.655;4.498.092
-930.265;4.497.919
-9.302.798;4.496.431
-9.302.542;4.497.693
-9.313.521;449.512
-9.300.424;4.496.395
-9.318.614;4.491.261
-9.300.504;4.496.125
-9.316.699;4.496.406
-9.313.114;4.496.225
-9.313.741;4.492.611
-9.307.183;449.837
-9.308.633;4.492.925
-9.303.307;4.496.548
-9.301.426;4.498.222
-9.300.504;4.495.944
-9.314.089;4.492.401
-9.300.727;449.565
-9.307.962;4.498.365
-930.882;4.493.487
-9.314.632;4.491.798
-9.307.363;4.498.648
-9.302.148;4.498.042
-9.307.188;4.498.951
-930.219;4.498.996
-9.309.407;4.497.371
-9.314.002;4.495.491
-9.314.101;4.495.323
-9.312.872;4.497.718
-9.302.073;4.498.853
-9.313.197;4.492.894
-9.307.731;449.289
-9.305.882;4.497.684
-9.306.493;4.498.222
-9.305.062;4.497.523
-9.314.108;4.495.928
-9.301.732;4.497.999
-9.305.116;4.495.017
-9.302.278;4.498.451
-9.311.091;4.497.698
-9.302.405;4.498.183
-930.163;4.498.636
-9.301.136;4.498.136
-9.307.187;449.828
-9.303.241;4.496.213
-9.306.651;4.492.562
-9.312.881;4.495.845
-9.310.597;4.492.329
-9.307.754;4.499.169
-9.316.219;4.495.895
-9.301.737;4.496.446
-9.312.741;4.492.394
-9.303.445;4.495.581
-9.313.369;4.497.158
-9.309.396;4.495.144
-9.301.635;4.498.676
-9.316.067;4.496.224
-9.316.495;4.495.667
-9.314.929;4.495.937
-9.302.667;4.497.534
-9.301.259;4.496.579
-9.304.932;4.498.903
-930.683;4.497.937
-9.315.093;4.495.761
-9.314.262;4.496.947
-9.302.257;4.496.469
-9.306.372;4.495.665
-9.307.425;449.892
-9.304.235;4.496.214
null;null
-9.303.153;449.623
-930.165;4.496.682
-9.301.627;4.496.819
-9.304.264;4.496.875
-9.315.043;4.496.463
-9.314.929;4.495.937
-9.313.434;4.499.113
null;null
-9.301.048;4.497.687
null;null
-9.311.288;449.674
null;null
null;null
null;null
null;null
null;null
null;null
-9.301.227;4.497.398
-9.304.821;4.499.217
-9.303.241;4.498.392
null;null
-9.304.745;4.496.229
-9.311.481;4.498.341
null;null
-9.300.504;4.496.125
null;null
null;null
-9.311.216;449.798
-9.309.779;449.249
-9.303.453;4.495.016
null;null
-9.306.345;4.498.022
-9.300.496;4.496.259
-9.306.746;4.498.645
null;null
-9.304.722;4.495.549
-9.311.368;4.497.838
-9.307.425;449.892
-9.303.557;4.498.193
-9.304.722;4.495.549
-9.302.794;4.497.336
-9.304.157;4.496.041
null;null
null;null
-9.317.501;4.490.266
null;null
null;null
null;null
null;null
-930.759;4.497.672
null;null
-9.312.881;4.495.845
-9.308.499;4.492.351
-9.306.286;449.704
-9.304.709;4.496.631
null;null
-9.313.587;4.496.018
-93.059;4.495.396
-930.942;4.497.467
-9.301.827;4.496.816
-9.311.216;4.497.985
null;null
-9.305.088;4.495.415
-9.302.089;4.496.798
-9.314.623;4.496.074
-9.303.504;449.497
-9.302.056;4.497.906
-9.307.044;4.492.417
null;null
-9.312.771;4.499.022
null;null
-9.300.811;4.496.607
-9.300.541;4.496.313
-9.308.336;4.498.661
-9.305.976;4.495.576
-9.303.335;4.494.783
-9.311.767;4.498.165
-9.302.899;4.497.403
-9.307.282;4.492.933
-9.301.985;4.498.539
-9.308.625;4.492.477
-9.316.662;4.498.407
-9.306.229;4.495.412
-9.314.391;4.496.324
-9.314.047;4.495.944
-9.313.503;4.492.484
-9.301.455;4.499.177
-9.315.428;4.493.791
-9.300.504;4.496.125
-9.301.915;4.495.873
-93.024;4.497.864
-931.696;4.495.403
-9.301.172;4.497.501
-9.309.396;4.495.144
-9.315.848;4.496.662
-9.313.517;4.492.398
-9.300.504;4.496.125
-9.306.665;4.498.293
-930.524;449.502
-930.942;4.497.467
-9.309.574;4.495.008
-9.315.362;4.496.498
-9.303.131;4.494.577
-9.311.241;4.497.814
-9.309.672;4.492.187
-9.305.532;4.496.296
-9.310.305;4.492.734
-9.304.536;4.495.109
-9.314.929;4.495.937
-9.312.124;4.495.123
-9.309.964;4.492.346
-9.307.379;4.499.126
-9.303.812;4.498.284
-9.301.564;4.497.817
-9.302.133;4.498.086
null;null
-9.306.398;4.495.328
-9.312.545;4.494.132
-9.305.866;4.495.025
-9.303.131;4.495.029
-9.308.018;449.801
-9.302.813;4.495.776
-9.300.424;4.496.395
-9.309.075;4.492.647
-930.978;4.496.457
-93.037;4.495.485
-9.302.879;4.496.213
-9.311.681;4.496.096
-9.307.363;4.498.648
null;null
-931.273;4.495.851
-9.303.059;4.498.843
-9.303.895;4.499.119
-9.308.789;4.491.908
-9.300.748;449.548
-9.309.682;4.492.783
-9.301.802;4.498.635
-9.307.376;4.492.109
-9.300.504;4.496.034
-9.307.865;4.496.889
-9.308.262;4.498.707
-930.223;4.498.631
-9.303.748;4.495.768
-931.038;4.499.025
-931.302;4.497.026
-9.304.483;4.494.987
-9.300.725;449.769
-9.312.344;4.499.325
-9.302.418;4.497.862
-9.316.386;4.497.998
-931.268;4.494.861
-9.302.643;4.497.461
-9.313.786;4.496.018
-9.302.091;4.495.654
-9.310.727;4.498.303
-9.300.504;4.495.944
-9.311.284;4.498.264
-9.313.328;4.498.438
-9.310.726;4.498.497
-9.319.518;4.496.596
-931.137;4.497.488
-9.308.502;4.497.531
-9.310.617;4.494.186
-9.311.472;4.493.395
-9.315.556;4.496.138
-9.301.317;4.497.303
-9.307.256;4.499.033
-9.304.824;4.496.265
-9.315.781;4.496.093
-9.314.111;4.492.699
-9.309.328;449.506
-9.305.502;4.495.108
-9.306.167;4.497.819
-9.316.008;4.496.013
-9.302.292;4.498.718
-9.309.079;4.492.822
-9.306.526;4.498.183
-9.308.758;4.495.063
-93.095;4.494.496
-932.071;4.496.612
-9.301.158;4.498.134
-9.302.826;4.499.034
-9.300.504;4.496.034
-9.301.294;4.496.955
-9.313.811;4.492.245
-9.315.631;4.498.911
-9.316.675;4.490.264
-931.428;4.497.326
-9.309.328;449.506
-9.317.563;4.490.055
-9.301.267;4.496.043
-9.301.075;449.701
-9.305.391;4.497.643
-9.302.099;449.593
-9.301.672;449.454
-930.718;4.498.641
-9.308.118;4.498.907
-9.300.693;4.497.855
-9.300.845;4.497.855
-9.303.312;4.498.737
-9.311.241;4.497.305
-9.313.167;4.494.025
-9.315.388;4.495.745
-9.309.477;4.492.623
-9.312.244;449.666
-9.304.231;4.498.848
-9.308.372;4.498.729
-9.308.479;4.492.275
-9.314.277;4.497.228
-9.310.171;4.492.182
-9.301.591;449.692
-9.305.283;4.494.862
-9.309.475;4.492.647
-9.314.682;4.498.998
-9.300.728;4.497.774
-9.302.083;4.492.864
-9.311.071;4.495.709
-9.315.632;4.496.276
-9.316.629;4.496.024
-931.651;4.495.964
-9.307.865;4.496.889
-9.301.849;4.496.287
-9.313.707;4.498.836
-93.095;4.494.496
-9.314.283;4.497.236
-9.316.699;4.496.406
-9.301.869;4.495.875
-9.304.298;4.498.787
-9.313.435;4.495.323
-9.307.192;4.498.354
-9.309.799;4.497.401
-9.314.975;4.498.991
-9.308.126;4.497.261
-9.301.875;4.498.764
-9.310.157;4.492.191
-9.311.759;4.498.401
-9.301.543;4.496.058
-9.302.899;449.742
-9.307.962;4.498.438
