latitude;longitude;walkscore;bikescore;;
4.493.207;-9.296.987;28; null;;
4.495.361;-9.296.546;38; null;;
4.500.547;-9.296.359;10; null;;
4.501.267;-9.295.574;0; null;;
4.494.212;-9.294.965;40; null;;
4.494.467;-9.294.885;36; null;;
4.491.279;-929.339;38; null;;
4.491.367;-9.293.027;35; null;;
449.067;-9.293.021;8; null;;
4.492.888;-9.288.308;3; null;;
449.572;-9.319.815;43;63;;
4.497.875;-9.318.968;65;75;;
4.495.316;-9.318.846;53;70;;
4.493.597;-9.315.701;60;69;;
4.498.882;-9.312.012;18;26;;
4.497.008;-9.309.567;30;57;;
4.492.822;-9.309.079;51;43;;
4.495.118;-9.308.949;96;65;;
4.499.663;-9.307.991;15; null;;
449.264;-9.307.431;61;45;;
4.496.395;-9.300.424;39;61;;
449.047;-9.295.959;14; null;;
4.494.431;-9.295.002;35; null;;
4.487.528;-9.291.093;0; null;;
4.493.985;-9.290.226;48; null;;
4.492.454;-9.288.054;3; null;;
4.495.607;-931.946;47;57;;
4.493.692;-9.315.605;67;70;;
449.422;-9.313.925;87;72;;
4.497.228;-9.313.727;35;68;;
4.496.887;-9.310.462;69;53;;
4.499.702;-9.309.218;23; null;;
4.492.465;-9.308.793;46;35;;
4.500.494;-9.308.777;23; null;;
4.498.556;-9.307.456;51;58;;
4.498.732;-9.307.196;41;52;;
4.494.418;-9.302.317;36;58;;
4.495.835;-9.301.439;52;67;;
4.498.375;-9.301.285;21;57;;
4.496.034;-9.300.504;43;64;;
4.498.244;-9.297.691;28; null;;
4.497.987;-9.296.795;3; null;;
4.491.287;-9.296.123;20; null;;
4.496.641;-9.295.108;31; null;;
4.501.461;-9.294.652;1; null;;
4.492.662;-9.293.991;10; null;;
4.487.339;-929.225;0; null;;
449.686;-9.320.027;78;88;;
4.495.931;-9.314.655;68;68;;
4.497.427;-9.314.303;37;71;;
4.497.268;-9.313.658;33;64;;
4.498.834;-9.313.522;24;45;;
4.498.581;-9.312.903;22;41;;
4.494.199;-9.312.849;89;69;;
4.494.571;-9.312.536;86;61;;
4.493.961;-9.310.851;78;79;;
4.498.365;-9.307.962;41;49;;
4.499.217;-9.304.821;22; null;;
4.495.038;-929.705;20; null;;
449.312;-9.297.023;32; null;;
4.490.583;-929.674;20; null;;
4.496.825;-9.296.225;44; null;;
4.491.694;-9.294.976;22; null;;
4.490.735;-9.294.809;6; null;;
4.496.124;-9.294.576;29; null;;
4.493.618;-9.291.323;24; null;;
4.493.313;-931.774;68;73;;
4.491.863;-9.317.614;59;58;;
449.872;-9.316.209;54;56;;
4.496.134;-9.315.734;66;75;;
4.493.303;-9.315.572;61;68;;
4.494.573;-9.314.893;76;77;;
4.491.821;-9.314.348;52;68;;
4.493.315;-9.314.129;51;55;;
449.912;-9.313.251;24;44;;
4.494.637;-9.312.171;83;63;;
4.498.535;-9.307.821;40;54;;
4.497.943;-9.305.441;60;73;;
4.494.306;-930.238;32;54;;
4.497.052;-9.296.423;42; null;;
4.498.429;-9.295.623;1; null;;
4.501.049;-9.294.378;2; null;;
4.493.119;-9.293.752;7; null;;
449.068;-9.293.524;2; null;;
4.493.979;-9.289.159;30; null;;
4.492.715;-9.288.833;4; null;;
4.491.119;-9.318.445;63;57;;
4.490.985;-9.318.359;52;53;;
4.494.504;-9.317.911;78;78;;
449.257;-9.316.582;66;64;;
4.498.956;-9.315.562;63;57;;
4.497.326;-931.428;36;72;;
4.494.298;-9.312.675;87;68;;
4.496.955;-9.311.116;63;53;;
4.499.834;-930.981;24; null;;
4.499.332;-9.309.497;35; null;;
4.498.907;-9.308.118;17;51;;
4.503.065;-9.305.136;9; null;;
449.487;-9.303.246;45;48;;
4.498.092;-9.301.655;20;53;;
4.496.374;-930.073;41;63;;
4.503.124;-9.300.617;47; null;;
4.490.954;-9.297.592;23; null;;
4.501.994;-929.577;1; null;;
4.491.474;-929.563;17; null;;
4.497.071;-929.557;33; null;;
4.493.337;-9.295.342;38; null;;
4.493.046;-929.175;7; null;;
4.489.998;-928.909;1; null;;
4.490.677;-9.318.778;41;61;;
449.908;-9.314.091;59;53;;
4.498.007;-9.313.281;25;61;;
4.494.663;-9.311.258;77;76;;
4.497.705;-9.311.219;55;50;;
4.495.549;-9.304.722;40;54;;
4.498.945;-9.302.074;67;62;;
4.498.634;-9.301.815;53;63;;
450.111;-9.301.692;12; null;;
4.497.303;-9.301.317;22;52;;
4.492.249;-9.300.715;2;29;;
4.500.258;-9.298.248;14; null;;
4.498.604;-9.297.604;5; null;;
4.497.595;-9.294.986;9; null;;
4.491.413;-9.293.207;47; null;;
4.501.752;-9.286.367;10; null;;
449.291;-9.319.015;51;75;;
4.497.605;-9.318.876;60;76;;
4.491.261;-9.318.614;72;63;;
4.496.506;-9.317.968;46;76;;
4.490.232;-9.315.996;51;60;;
4.492.932;-9.315.028;64;68;;
4.496.019;-9.314.017;67;62;;
4.497.116;-9.313.351;41;60;;
4.494.821;-931.268;84;60;;
449.767;-9.309.873;57;65;;
4.500.487;-9.307.875;18; null;;
4.498.408;-9.307.642;53;56;;
4.501.071;-930.377;25; null;;
4.494.736;-9.303.239;31;43;;
4.496.558;-9.302.766;47;46;;
4.499.855;-9.300.715;30; null;;
4.496.389;-9.299.965;33; null;;
4.495.583;-929.679;41; null;;
4.490.151;-9.296.332;15; null;;
4.497.315;-9.296.286;21; null;;
4.494.179;-9.294.941;40; null;;
450.316;-9.294.284;0; null;;
449.318;-9.290.846;14; null;;
4.501.341;-9.290.506;0; null;;
449.412;-928.929;39; null;;
449.274;-9.288.815;4; null;;
4.491.323;-9.316.971;40;45;;
4.492.318;-9.316.309;66;63;;
4.496.137;-9.315.239;53;69;;
4.498.806;-9.314.392;58;67;;
4.492.172;-9.314.074;56;66;;
4.494.291;-9.312.896;87;67;;
4.493.205;-9.308.733;74;53;;
449.681;-9.308.552;60;67;;
4.498.133;-9.302.566;59;58;;
4.494.492;-9.301.351;51;68;;
4.492.337;-9.299.871;9; null;;
4.502.025;-9.298.126;37; null;;
450.192;-9.295.812;1; null;;
4.496.565;-929.511;34; null;;
4.494.109;-9.294.725;41; null;;
4.493.886;-9.290.243;44; null;;
4.490.121;-9.289.923;8; null;;
4.491.134;-9.288.637;5; null;;
4.490.272;-9.287.329;8; null;;
4.490.279;-9.287.329;8; null;;
4.492.884;-9.287.325;0; null;;
4.501.081;-9.286.622;12; null;;
4.492.704;-9.315.336;75;64;;
4.492.615;-9.314.246;55;67;;
4.492.161;-9.313.133;59;77;;
4.492.484;-93.128;64;83;;
4.498.707;-9.308.262;28;60;;
4.508.642;-9.306.363;0; null;;
4.497.662;-9.303.837;66;69;;
4.501.473;-9.303.383;19; null;;
4.503.484;-9.302.951;48; null;;
4.496.301;-930.288;43;52;;
4.496.301;-9.302.827;43;52;;
4.498.329;-9.302.047;52;61;;
4.500.559;-930.164;31; null;;
4.499.177;-9.301.455;47; null;;
4.498.815;-9.299.741;10; null;;
4.500.831;-9.296.065;8; null;;
4.499.259;-9.295.216;5; null;;
4.496.187;-9.293.109;14; null;;
4.499.041;-92.914;0; null;;
4.489.888;-9.288.534;2; null;;
4.491.414;-9.318.022;65;53;;
4.490.704;-9.317.563;43;31;;
4.493.071;-9.314.975;57;68;;
4.494.846;-9.314.872;67;74;;
4.496.036;-9.314.785;55;66;;
4.495.121;-9.313.853;72;59;;
4.492.525;-9.313.819;65;62;;
4.496.579;-9.301.259;36;59;;
4.490.803;-9.296.946;22; null;;
4.490.438;-9.293.199;2; null;;
4.492.496;-9.292.841;30; null;;
4.491.173;-9.287.737;9; null;;
4.490.268;-9.287.329;8; null;;
449.353;-9.317.832;74;71;;
4.495.668;-9.315.882;84;79;;
4.494.389;-9.315.246;67;79;;
4.494.951;-9.314.017;73;58;;
449.372;-9.311.155;63;72;;
4.497.521;-930.965;46;66;;
4.492.378;-9.307.145;35;25;;
4.499.032;-9.307.142;19;43;;
4.494.973;-930.467;37;52;;
4.497.641;-9.300.914;6;48;;
4.498.971;-9.299.967;19; null;;
4.495.152;-9.297.262;10; null;;
4.489.553;-9.295.334;4; null;;
449.429;-929.243;59; null;;
4.489.312;-9.292.182;12; null;;
4.494.296;-9.289.952;53; null;;
4.493.361;-9.288.653;2; null;;
4.489.437;-9.288.488;1; null;;
4.491.443;-9.287.415;5; null;;
4.490.327;-9.287.207;11; null;;
4.490.188;-9.317.242;69;54;;
4.494.491;-9.314.502;79;74;;
4.497.665;-9.311.242;54;51;;
4.494.276;-931.121;65;63;;
449.673;-9.310.221;65;53;;
4.496.296;-9.305.532;60;63;;
4.495.515;-930.469;40;54;;
4.501.668;-9.303.757;11; null;;
4.497.449;-9.302.667;46;48;;
4.496.973;-9.302.329;50;46;;
4.496.599;-9.302.294;44;52;;
4.496.709;-9.301.126;34;57;;
4.497.975;-9.296.791;3; null;;
4.498.201;-9.296.616;2; null;;
449.902;-9.293.027;1; null;;
4.489.879;-9.292.581;10; null;;
4.492.288;-9.292.078;13; null;;
448.984;-928.777;5; null;;
4.497.885;-932.005;53;71;;
4.491.245;-9.318.561;72;63;;
4.496.619;-9.317.835;52;77;;
44.965;-9.317.396;67;77;;
4.493.792;-9.314.182;86;71;;
4.495.402;-931.413;78;64;;
4.497.193;-9.314.069;41;68;;
4.498.898;-9.313.579;32;50;;
4.497.119;-9.313.566;38;58;;
4.496.225;-9.313.114;64;68;;
449.396;-9.312.589;87;74;;
4.494.793;-9.311.269;79;71;;
4.496.921;-9.306.487;81;73;;
4.495.412;-9.306.229;57;60;;
4.497.594;-9.305.121;61;71;;
4.497.457;-930.385;61;68;;
4.500.893;-9.303.667;29; null;;
4.494.577;-9.303.131;19;32;;
4.490.542;-9.300.115;16; null;;
4.498.376;-9.300.048;4; null;;
4.492.705;-9.299.275;10; null;;
449.548;-9.297.985;18; null;;
4.501.668;-9.297.607;10; null;;
449.075;-9.297.421;19; null;;
4.498.401;-9.296.491;4; null;;
4.501.924;-9.295.534;1; null;;
4.493.555;-9.292.774;55; null;;
4.493.566;-9.292.311;21; null;;
4.488.077;-9.291.846;1; null;;
4.493.578;-9.291.426;27; null;;
4.491.406;-9.287.644;7; null;;
4.492.438;-9.314.131;61;64;;
4.492.438;-9.313.937;62;62;;
4.494.161;-9.310.286;88;74;;
4.492.137;-9.310.074;71;45;;
4.498.984;-9.308.111;17;51;;
4.498.438;-9.307.962;36;53;;
4.496.305;-9.307.823;76;79;;
4.500.356;-9.304.129;34; null;;
4.496.752;-9.301.549;34;53;;
4.496.058;-9.301.543;37;58;;
4.492.737;    -93.0;17; null;;
4.497.632;-9.299.874;8; null;;
4.493.912;-9.297.785;30; null;;
4.500.192;-9.297.444;10; null;;
4.489.178;-9.296.595;4; null;;
4.491.637;-9.294.604;23; null;;
4.493.309;-9.292.312;24; null;;
4.490.591;-9.291.945;3; null;;
4.494.365;-9.289.961;53; null;;
4.493.978;-9.289.164;30; null;;
4.491.718;-9.288.575;9; null;;
4.492.822;-9.316.309;73;67;;
4.497.164;-9.315.924;39;54;;
4.498.763;-9.314.119;46;63;;
449.261;-9.313.364;69;69;;
4.499.024;-9.312.834;18;41;;
4.497.783;-9.311.473;52;51;;
449.415;-9.311.467;63;65;;
4.498.114;-9.311.165;50;47;;
4.492.642;-9.307.623;64;46;;
4.497.904;-9.307.496;77;53;;
4.499.776;-9.306.719;13; null;;
4.498.417;-9.304.045;54;65;;
4.495.371;-9.303.778;36;36;;
4.496.927;-9.296.446;42; null;;
450.113;-9.296.357;9; null;;
4.496.781;-929.509;29; null;;
4.491.926;-9.295.003;30; null;;
4.489.497;-9.294.849;6; null;;
449.604;-9.294.107;24; null;;
4.492.379;-9.293.622;38; null;;
4.494.852;-9.349.811;24; null;;
449.353;-9.319.201;51;79;;
4.493.002;-9.318.971;52;71;;
4.492.979;-9.316.077;69;69;;
4.492.916;-9.313.642;60;71;;
4.492.894;-9.313.197;65;70;;
4.492.816;-9.313.052;69;74;;
4.498.535;-9.312.847;25;42;;
4.498.388;-9.311.362;51;43;;
4.498.415;-9.310.703;69;53;;
4.492.502;-9.310.175;63;64;;
4.492.304;-9.308.352;48;35;;
4.502.129;-9.304.598;17; null;;
4.498.377;-930.394;35;54;;
4.497.683;-930.293;57;53;;
4.500.582;-9.297.791;18; null;;
4.496.976;-9.297.719;35; null;;
4.496.794;-9.296.762;43; null;;
4.499.317;-9.294.755;14; null;;
4.489.157;-9.293.458;5; null;;
4.491.273;-9.293.388;38; null;;
449.074;-9.318.775;41;61;;
4.493.792;-9.318.233;75;72;;
4.495.403;-931.696;83;78;;
4.493.402;-9.316.116;67;67;;
4.498.734;-9.315.804;56;55;;
4.495.655;-9.313.095;84;72;;
4.497.026;-931.302;49;61;;
4.494.143;-9.312.505;84;73;;
4.496.938;-9.310.265;64;55;;
4.494.173;-9.310.225;87;71;;
449.943;-9.309.393;35; null;;
4.492.447;-9.309.255;44;34;;
4.499.946;-9.308.152;22; null;;
4.498.787;-9.304.298;38;57;;
4.496.796;-9.296.568;46; null;;
4.491.276;-9.293.059;35; null;;
4.496.063;-9.292.453;0; null;;
4.493.711;-9.288.882;11; null;;
4.495.683;-9.319.875;45;68;;
4.491.443;-9.317.062;44;46;;
4.495.655;-9.315.272;76;75;;
4.497.261;-931.438;37;73;;
44.974;-9.314.379;37;71;;
449.223;-931.425;53;64;;
4.495.671;-9.314.138;81;67;;
4.499.326;-9.306.626;22; null;;
4.495.973;-9.302.412;48;54;;
4.491.322;-9.299.523;1; null;;
4.492.623;-9.299.181;10; null;;
4.501.495;-9.298.126;42; null;;
4.500.356;-9.297.524;8; null;;
4.491.208;-9.297.232;27; null;;
4.495.528;-9.295.218;25; null;;
4.498.301;-9.294.593;3; null;;
4.497.133;-9.292.038;0; null;;
4.494.623;-9.291.715;48; null;;
4.491.659;-9.291.333;13; null;;
4.493.264;-929.131;13; null;;
4.492.673;-9.289.646;7; null;;
4.492.637;-9.319.278;50;81;;
4.493.075;-9.317.963;56;71;;
4.498.559;-9.315.565;47;67;;
4.492.966;-9.310.345;42;45;;
4.493.025;-9.309.258;54;56;;
4.497.665;-9.308.508;57;59;;
4.497.667;-9.308.288;64;56;;
4.498.528;-9.307.643;46;58;;
4.498.734;-9.306.977;42;54;;
4.497.745;-9.305.718;70;68;;
4.495.581;-9.303.567;31;37;;
4.492.129;-9.300.076;8; null;;
4.500.369;-9.298.331;9; null;;
4.502.317;-9.298.221;37; null;;
4.494.469;-9.298.115;23; null;;
4.501.863;-9.296.384;9; null;;
4.501.832;-9.295.738;1; null;;
4.487.228;-9.295.169;0; null;;
4.491.928;-9.294.723;31; null;;
4.492.468;-9.294.703;26; null;;
4.490.808;-9.294.403;7; null;;
4.489.195;-9.293.243;5; null;;
4.491.384;-9.293.019;21; null;;
4.487.956;-9.291.662;0; null;;
4.489.829;-9.291.235;11; null;;
4.494.096;-9.290.186;51; null;;
4.493.738;-9.317.265;75;72;;
4.493.705;-9.315.888;64;69;;
449.567;-9.315.498;77;77;;
4.493.272;-9.315.159;52;65;;
4.494.537;-9.314.619;79;73;;
4.494.586;-9.313.594;83;63;;
4.499.699;-930.964;28; null;;
4.495.008;-9.309.574;96;54;;
449.246;-9.307.333;47;36;;
4.503.273;-9.303.475;38; null;;
4.494.389;-9.299.352;13; null;;
4.502.671;-92.981;24; null;;
4.500.629;-9.297.237;10; null;;
4.490.584;-9.296.742;20; null;;
4.497.512;-9.295.724;14; null;;
4.493.724;-9.294.463;50; null;;
4.496.141;-9.293.197;22; null;;
4.490.398;-929.297;5; null;;
4.489.496;-9.292.434;13; null;;
4.495.296;-9.290.793;5; null;;
4.494.222;-9.289.507;46; null;;
4.490.104;-9.288.507;2; null;;
4.491.912;-9.317.665;62;61;;
44.985;-93.157;49;64;;
4.493.585;-9.315.452;65;69;;
4.491.806;-9.315.417;35;46;;
4.499.033;-9.315.396;58;52;;
4.495.745;-9.315.048;71;72;;
4.492.306;-9.313.202;66;71;;
4.498.037;-9.311.343;45;47;;
449.915;-9.310.885;67;56;;
4.498.661;-9.308.336;26;63;;
4.497.576;-9.308.156;69;52;;
4.492.783;-9.308.138;75;40;;
4.498.736;-9.302.818;70;58;;
4.497.909;-9.302.225;41;56;;
4.496.933;-9.301.441;37;51;;
449.646;-9.300.532;40;63;;
4.500.193;-9.298.104;20; null;;
4.495.903;-9.296.785;45; null;;
4.502.289;-9.295.541;1; null;;
4.496.697;-9.295.146;34; null;;
4.492.645;-9.293.753;34; null;;
4.499.087;-929.338;2; null;;
4.493.009;-9.292.224;4; null;;
4.490.909;-9.291.255;7; null;;
4.494.209;-928.949;46; null;;
4.490.078;-9.288.367;5; null;;
4.494.686;-9.315.399;65;83;;
4.493.796;-9.315.058;78;72;;
4.492.127;-9.314.254;53;64;;
4.493.753;-9.310.964;65;69;;
449.506;-9.309.328;97;57;;
4.499.796;-9.309.082;27; null;;
4.496.924;-9.306.244;80;74;;
4.503.184;-9.303.298;50; null;;
4.496.229;-9.302.746;44;52;;
449.675;-9.301.633;38;52;;
4.500.425;-9.298.373;9; null;;
4.491.179;-9.298.062;18; null;;
4.502.071;-9.296.777;11; null;;
4.490.465;-9.296.688;17; null;;
4.488.699;-9.294.985;11; null;;
450.118;-9.293.054;0; null;;
448.773;-929.165;0; null;;
4.490.006;-9.288.351;4; null;;
4.500.996;-9.288.215;8; null;;
4.490.336;-9.287.308;11; null;;
4.498.319;-9.320.122;63;71;;
4.496.186;-9.315.311;45;65;;
4.496.549;-9.314.605;43;62;;
449.223;-9.314.255;53;64;;
4.496.762;-9.311.092;62;57;;
4.493.161;-9.309.936;34;46;;
4.494.496;-93.095;96;64;;
4.497.191;-9.306.363;78;64;;
4.497.041;-9.305.394;47;59;;
4.495.928;-9.302.451;48;54;;
4.492.221;-9.300.001;6; null;;
4.496.464;-9.299.959;33; null;;
4.494.702;-9.299.557;10; null;;
4.496.979;-9.299.206;30; null;;
4.500.179;-9.297.151;9; null;;
4.490.954;-9.294.505;9; null;;
4.490.084;-9.294.044;3; null;;
4.500.827;-929.377;1; null;;
4.493.065;-9.293.532;14; null;;
4.492.773;-9.292.461;12; null;;
4.495.401;-9.291.079;0; null;;
449.408;-9.290.172;49; null;;
4.493.512;-9.288.558;2; null;;
4.489.805;-9.318.229;34;44;;
4.498.388;-9.316.601;62;58;;
4.493.264;-9.315.159;52;65;;
4.495.745;-9.313.311;76;67;;
4.499.325;-9.312.344;12; null;;
4.496.811;-9.311.092;62;55;;
4.495.237;-930.907;94;60;;
4.497.461;-9.302.643;46;48;;
449.661;-9.295.135;34; null;;
4.491.282;-929.339;38; null;;
4.493.591;-9.293.011;62; null;;
4.492.083;-9.290.781;13; null;;
4.494.224;-9.289.462;46; null;;
4.494.586;-9.316.152;75;80;;
4.498.323;-9.313.735;28;66;;
4.495.017;-9.313.431;70;58;;
449.619;-9.308.334;56;63;;
4.497.018;-9.307.225;86;73;;
449.202;-9.307.157;33;32;;
450.022;-9.306.627;9; null;;
4.495.328;-9.306.398;52;60;;
4.497.924;-9.306.318;76;64;;
4.498.183;-9.306.191;63;76;;
4.494.782;-9.303.081;37;45;;
4.498.374;-930.261;65;61;;
4.498.375;-930.145;27;58;;
4.503.295;-9.300.026;15; null;;
4.497.812;-9.297.387;3; null;;
4.491.177;-929.736;27; null;;
4.490.566;-9.297.115;18; null;;
4.498.571;-9.296.756;5; null;;
4.491.109;-9.296.693;25; null;;
4.490.808;-9.295.227;6; null;;
4.492.088;-9.295.217;40; null;;
4.488.594;-9.294.958;10; null;;
4.490.629;-9.293.588;2; null;;
449.214;-9.319.058;80;77;;
4.496.089;-9.316.992;84;80;;
449.451;-9.316.786;82;79;;
4.495.655;-9.315.226;76;75;;
4.495.783;-9.313.163;79;69;;
4.496.095;-931.287;74;71;;
4.494.381;-9.311.708;80;75;;
4.493.328;-9.308.756;71;49;;
4.498.729;-9.308.372;25;62;;
4.495.688;-9.303.725;36;37;;
4.494.649;-9.302.169;32;57;;
4.495.875;-9.301.869;47;60;;
4.497.817;-9.301.564;18;50;;
4.498.837;-9.301.026;11;53;;
4.495.449;-9.300.574;49;70;;
4.492.669;-9.300.237;19; null;;
4.490.873;-9.297.625;21; null;;
4.490.211;-9.296.576;16; null;;
4.496.491;-929.656;55; null;;
4.497.479;-929.555;14; null;;
4.494.226;-9.295.084;36; null;;
4.489.408;-9.294.581;7; null;;
4.493.936;-929.439;52; null;;
4.490.013;-9.290.845;11; null;;
4.489.358;-9.290.446;1; null;;
4.493.992;-9.289.189;30; null;;
4.490.319;-9.288.962;3; null;;
4.502.584;-9.285.942;12; null;;
4.494.597;-9.317.347;80;78;;
4.498.991;-9.314.975;71;60;;
4.495.927;-9.313.964;67;62;;
4.497.981;-9.313.672;27;64;;
4.496.952;-9.312.144;50;71;;
4.499.544;-9.309.478;31; null;;
4.498.434;-9.308.674;30;68;;
4.495.231;-9.305.668;56;59;;
4.503.624;-9.303.247;42; null;;
4.503.184;-9.303.127;56; null;;
449.567;-930.296;47;43;;
4.496.433;-9.301.988;37;57;;
4.498.871;-9.301.977;63;65;;
4.491.502;-9.300.504;7;27;;
4.490.582;-9.299.492;1; null;;
4.496.328;-9.297.635;34; null;;
4.489.267;-928.939;1; null;;
4.490.091;-9.287.365;6; null;;
4.496.088;-9.316.351;81;80;;
4.494.405;-9.315.798;70;80;;
4.496.727;-931.565;49;58;;
4.496.278;-9.313.037;64;68;;
449.342;-9.311.599;55;73;;
4.495.144;-9.309.396;95;53;;
4.497.223;-930.745;85;59;;
4.497.551;-930.637;79;54;;
4.496.496;-9.305.285;40;66;;
4.499.346;-9.305.072;13; null;;
4.496.485;-9.303.134;39;40;;
4.497.953;-9.302.347;46;51;;
4.491.338;-9.300.729;7;27;;
449.565;-9.300.727;40;70;;
4.491.017;-9.297.603;23; null;;
449.585;-929.746;24; null;;
4.489.154;-9.296.666;4; null;;
4.495.316;-9.294.901;20; null;;
4.492.396;-9.293.612;38; null;;
4.495.196;-9.292.287;9; null;;
4.487.433;-9.292.206;0; null;;
4.490.925;-9.291.973;4; null;;
4.490.583;-9.288.999;2; null;;
44.943;-9.318.214;73;75;;
4.499.082;-9.314.033;59;53;;
4.493.427;-9.313.605;65;58;;
4.497.158;-9.313.369;41;60;;
4.499.025;-9.313.318;28;44;;
4.499.184;-9.310.967;63; null;;
4.495.868;-930.795;71;70;;
4.497.279;-9.302.165;40;47;;
4.498.769;-9.302.137;67;65;;
449.818;-9.297.805;28; null;;
4.490.323;-929.688;12; null;;
4.501.492;-9.295.616;0; null;;
4.494.468;-9.294.576;36; null;;
4.494.291;-9.294.566;39; null;;
4.489.659;-9.288.366;2; null;;
4.494.461;-931.367;84;67;;
4.498.502;-9.312.722;25;43;;
4.497.814;-9.311.241;55;50;;
4.497.912;-9.308.127;62;49;;
4.497.856;-9.307.136;76;54;;
4.495.666;-930.595;59;53;;
4.501.628;-9.305.645;16; null;;
4.498.751;-9.305.105;14;58;;
4.496.419;-9.302.357;44;53;;
4.498.218;-9.301.986;40;59;;
4.498.766;-9.301.805;58;64;;
4.496.789;-9.301.718;37;49;;
4.499.127;-9.301.247;29;54;;
449.831;-9.297.361;12; null;;
4.497.365;-9.295.344;18; null;;
4.491.404;-9.293.049;41; null;;
4.495.499;-929.117;0; null;;
450.125;-9.287.017;7; null;;
4.493.086;-9.319.237;44;77;;
4.490.635;-9.318.352;33;56;;
449.048;-9.318.119;39;52;;
4.494.951;-9.313.971;73;58;;
4.491.974;-9.313.282;51;72;;
4.497.836;-9.311.241;49;48;;
4.492.523;-931.016;63;64;;
4.492.377;-9.307.862;57;40;;
4.497.523;-9.307.635;80;46;;
4.499.589;-9.304.856;22; null;;
4.496.602;-9.304.252;34;53;;
4.494.386;-9.302.722;35;48;;
449.056;-9.299.854;2; null;;
4.497.609;-9.297.769;38; null;;
4.500.077;-9.297.443;10; null;;
4.498.659;-9.296.897;3; null;;
4.490.636;-929.684;22; null;;
4.490.749;-9.296.594;21; null;;
4.491.304;-9.295.849;17; null;;
4.502.537;-9.295.639;0; null;;
4.492.207;-9.293.107;58; null;;
4.489.538;-9.287.801;1; null;;
4.500.852;-9.286.359;16; null;;
4.498.308;-9.319.755;72;72;;
4.494.717;-9.314.209;75;64;;
4.492.934;-9.313.529;61;75;;
4.494.278;-9.312.913;87;67;;
4.492.114;-9.310.074;74;50;;
4.495.413;-9.305.657;56;55;;
4.498.736;-93.027;71;58;;
4.496.682;-930.165;38;52;;
4.500.565;-9.297.187;4; null;;
4.495.447;-9.292.261;0; null;;
4.495.224;-9.292.215;14; null;;
449.091;-9.291.847;4; null;;
4.490.538;-9.291.762;3; null;;
4.495.878;-9.290.394;2; null;;
4.671.329;1.363.371;29; null;;
4.493.529;-9.317.872;74;71;;
4.492.858;-9.315.005;70;67;;
4.496.322;-9.314.343;55;65;;
4.494.586;-9.313.784;81;64;;
449.674;-9.311.288;59;59;;
4.493.694;-9.311.186;65;77;;
4.497.661;-9.311.091;60;51;;
449.837;-9.307.183;64;58;;
4.497.108;-930.522;46;60;;
4.500.394;-930.503;19; null;;
4.498.222;-9.301.426;21;55;;
4.495.837;-9.301.345;46;67;;
4.491.111;-9.298.303;14; null;;
4.490.571;-9.297.087;18; null;;
450.186;-9.296.742;9; null;;
4.490.964;-9.296.576;23; null;;
4.502.042;-9.295.491;2; null;;
449.163;-9.294.536;23; null;;
4.494.503;   -92.92;56; null;;
4.492.913;-9.287.862;1; null;;
4.492.423;-9.287.555;1; null;;
4.490.121;-9.287.352;6; null;;
4.490.144;-9.318.179;48;67;;
4.491.262;-9.317.069;42;43;;
4.494.845;-9.315.348;59;78;;
4.495.718;-9.314.705;79;73;;
4.493.487;-9.313.077;70;63;;
4.494.082;-9.311.654;70;65;;
4.498.303;-9.310.727;65;51;;
4.499.595;-9.304.047;30; null;;
4.498.752;-9.302.707;71;58;;
4.496.819;-9.301.627;37;49;;
4.492.188;-9.300.871;2;27;;
4.490.872;-9.297.625;21; null;;
4.495.798;-9.297.219;30; null;;
4.490.583;-9.296.738;20; null;;
4.493.846;-9.294.468;50; null;;
4.493.598;-9.293.047;64; null;;
4.490.119;-9.289.897;8; null;;
4.489.479;-928.788;1; null;;
4.493.139;-9.318.562;61;69;;
4.493.075;-9.318.091;62;72;;
4.492.896;-9.315.495;71;69;;
4.496.858;-9.310.272;64;54;;
4.498.373;-9.306.828;67;63;;
4.494.874;-9.301.025;61;76;;
4.490.704;-930.002;3; null;;
4.497.689;-929.922;34; null;;
4.496.425;-9.297.727;35; null;;
4.492.504;-9.293.866;32; null;;
4.492.645;-9.292.784;38; null;;
4.493.318;-9.289.953;7; null;;
4.489.503;-9.288.115;1; null;;
4.498.765;-9.319.727;58;62;;
4.494.175;-9.317.802;80;74;;
4.497.432;-9.311.092;63;51;;
449.832;-9.310.284;63;54;;
4.492.464;-9.308.816;46;35;;
4.495.029;-9.303.131;49;45;;
4.498.481;-9.302.857;63;56;;
4.496.693;-9.302.324;46;49;;
4.499.329;-9.300.354;13; null;;
4.497.687;-9.298.605;48; null;;
4.491.086;-929.833;14; null;;
4.500.141;-929.699;10; null;;
4.489.275;-9.296.105;5; null;;
4.497.406;-9.296.058;8; null;;
4.496.214;-9.293.176;17; null;;
4.491.603;-9.292.797;47; null;;
4.487.343;-9.291.551;0; null;;
4.489.637;-9.288.253;2; null;;
4.490.068;-9.287.387;6; null;;
4.496.679;-931.991;78;80;;
4.492.415;-9.319.371;65;82;;
4.496.361;-9.317.439;72;79;;
4.492.781;-9.316.224;72;67;;
4.496.458;-9.315.479;49;64;;
4.492.856;-9.315.118;71;67;;
4.492.493;-9.315.116;70;59;;
4.498.032;-9.304.378;66;73;;
449.751;-9.302.771;46;48;;
449.321;-9.299.801;16; null;;
4.502.411;-929.834;39; null;;
